2024-01-12 13:26:46,858 INFO : update CO row:Pandas(_0=559, _1=66, Description='六堵SS_11KV#181310RY', BranchID=101, VLevel=11.0, EquipName='1MTR', EquipNum=310, StationName='CKSS', Element='81A_RESET', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,858 INFO : update CO row:Pandas(_0=559, _1=67, Description='六堵SS_#1MTR75081U/L', BranchID=101, VLevel=69.0, EquipName='1MTR', EquipNum=750, StationName='CKSS', Element='81UL_025', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,858 INFO : update CO row:Pandas(_0=559, _1=68, Description='六堵SS_SPARE', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom=nan, DataType=nan, LineName=nan, ErrMsg='未比對到，請新增規則或手動編譯', DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,858 INFO : update CO row:Pandas(_0=559, _1=69, Description='六堵SS_#2MTR760CB', BranchID=101, VLevel=69.0, EquipName='2MTR', EquipNum=760, StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,858 INFO : update CO row:Pandas(_0=559, _1=70, Description='六堵SS_#2MTR330CB', BranchID=101, VLevel=11.0, EquipName='2MTR', EquipNum=330, StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,858 INFO : update CO row:Pandas(_0=559, _1=71, Description='六堵SS_#2MTRM2BCB', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,858 INFO : update CO row:Pandas(_0=559, _1=72, Description='六堵SS_#2TIE200CB', BranchID=101, VLevel=nan, EquipName=nan, EquipNum=nan, StationName='CKSS', Element=nan, DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,858 INFO : update CO row:Pandas(_0=559, _1=73, Description='六堵SS_#2SC220CB', BranchID=101, VLevel=11.0, EquipName='2SC', EquipNum=220, StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,867 INFO : update CO row:Pandas(_0=559, _1=74, Description='六堵SS_瑪陵線CK31CB', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK31', StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName='瑪陵線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,868 INFO : update CO row:Pandas(_0=559, _1=75, Description='六堵SS_柑宅線CK32CB', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK32', StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName='柑宅線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,868 INFO : update CO row:Pandas(_0=559, _1=76, Description='六堵SS_六堵線CK33CB', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK33', StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName='六堵線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,868 INFO : update CO row:Pandas(_0=559, _1=77, Description='六堵SS_利華線CK34CB', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK34', StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName='利華線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,868 INFO : update CO row:Pandas(_0=559, _1=78, Description='六堵SS_六福線CK35CB', BranchID=101, VLevel=11.0, EquipName='Feeder', EquipNum='CK35', StationName='CKSS', Element='CB_031', DataFrom='Status', DataType='PRTU', LineName='六福線', ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
2024-01-12 13:26:46,868 INFO : update CO row:Pandas(_0=559, _1=79, Description='六堵SS_#2MTROLTCR/L', BranchID=101, VLevel=11.0, EquipName='2MTR', EquipNum=330, StationName='CKSS', Element='TapPosMv', DataFrom='Status', DataType='PRTU', LineName=nan, ErrMsg=nan, DataSheet1=nan, DataSheet2=nan, DataSheet3=nan)
